1 92.0 92.0
2 88.0 58.0
3 70.0 6.0
4 57.0 59.0
5 0.0 98.0
6 61.0 38.0
7 65.0 22.0
8 91.0 52.0
9 59.0 2.0
10 3.0 54.0
11 95.0 38.0
12 80.0 28.0
13 66.0 42.0
14 79.0 74.0
15 99.0 25.0
16 20.0 43.0
17 40.0 3.0
18 50.0 42.0
19 97.0 0.0
20 21.0 19.0
21 36.0 21.0
22 100.0 61.0
23 11.0 85.0
24 69.0 35.0
25 69.0 22.0
26 29.0 35.0
27 14.0 9.0
28 50.0 33.0
29 89.0 17.0
30 57.0 44.0
31 60.0 25.0
32 48.0 42.0
33 17.0 93.0
34 21.0 50.0
35 77.0 18.0
36 2.0 4.0
37 63.0 83.0
38 68.0 6.0
39 41.0 95.0
40 48.0 54.0
41 98.0 73.0
42 26.0 38.0
43 69.0 76.0
44 40.0 1.0
45 65.0 41.0
46 14.0 86.0
47 32.0 39.0
48 14.0 24.0
49 96.0 5.0
50 82.0 98.0
51 23.0 85.0
52 63.0 69.0
53 87.0 19.0
54 56.0 75.0
55 15.0 63.0
56 10.0 45.0
57 7.0 30.0
58 31.0 11.0
59 36.0 93.0
60 50.0 31.0
61 49.0 52.0
62 39.0 10.0
63 76.0 40.0
64 83.0 34.0
65 33.0 51.0
66 0.0 15.0
67 52.0 82.0
68 52.0 82.0
69 46.0 6.0
70 3.0 26.0
71 46.0 80.0
72 94.0 30.0
73 26.0 76.0
74 75.0 92.0
75 57.0 51.0
76 34.0 21.0
77 28.0 80.0
78 59.0 66.0
79 51.0 16.0
80 87.0 11.0
